"Notes","County of Residence","County of Residence Code","Year","Year Code",Births,Average Birth Weight (grams)
,"Butler County, OH","39017","2017","2017",4466,3290.61
,"Butler County, OH","39017","2018","2018",4472,3276.42
,"Butler County, OH","39017","2019","2019",4446,3283.47
,"Butler County, OH","39017","2020","2020",4366,3278.68
,"Butler County, OH","39017","2021","2021",4252,3282.87
,"Butler County, OH","39017","2022","2022",4322,3244.78
,"Butler County, OH","39017","2023","2023",4197,3259.57
,"Butler County, OH","39017","2024","2024",4244,3254.37
,"Clark County, OH","39023","2016","2016",1532,3252.96
,"Clark County, OH","39023","2017","2017",1614,3251.49
,"Clark County, OH","39023","2018","2018",1552,3264.25
,"Clark County, OH","39023","2019","2019",1572,3231.38
,"Clark County, OH","39023","2020","2020",1506,3233.25
,"Clark County, OH","39023","2021","2021",1517,3248.04
,"Clark County, OH","39023","2022","2022",1573,3233.86
,"Clark County, OH","39023","2023","2023",1637,3206.06
,"Clark County, OH","39023","2024","2024",1732,3198.01
,"Clermont County, OH","39025","2016","2016",2293,3329.04
,"Clermont County, OH","39025","2017","2017",2311,3316.70
,"Clermont County, OH","39025","2018","2018",2310,3315.47
,"Clermont County, OH","39025","2019","2019",2234,3300.22
,"Clermont County, OH","39025","2020","2020",2167,3304.84
,"Clermont County, OH","39025","2021","2021",2205,3282.52
,"Clermont County, OH","39025","2022","2022",2165,3297.83
,"Clermont County, OH","39025","2023","2023",2255,3282.40
,"Clermont County, OH","39025","2024","2024",2241,3300.66
,"Columbiana County, OH","39029","2016","2016",1070,3279.03
,"Columbiana County, OH","39029","2017","2017",1025,3315.36
,"Columbiana County, OH","39029","2018","2018",982,3266.69
,"Columbiana County, OH","39029","2019","2019",1020,3279.32
,"Columbiana County, OH","39029","2020","2020",984,3281.86
,"Columbiana County, OH","39029","2021","2021",973,3268.64
,"Columbiana County, OH","39029","2022","2022",962,3262.88
,"Columbiana County, OH","39029","2023","2023",882,3207.46
,"Columbiana County, OH","39029","2024","2024",975,3250.89
,"Cuyahoga County, OH","39035","2016","2016",14758,3171.25
,"Cuyahoga County, OH","39035","2017","2017",14550,3169.11
,"Cuyahoga County, OH","39035","2018","2018",13870,3182.93
,"Cuyahoga County, OH","39035","2019","2019",13935,3179.34
,"Cuyahoga County, OH","39035","2020","2020",13191,3177.75
,"Cuyahoga County, OH","39035","2021","2021",13136,3181.39
,"Cuyahoga County, OH","39035","2022","2022",12833,3162.38
,"Cuyahoga County, OH","39035","2023","2023",12701,3160.79
,"Cuyahoga County, OH","39035","2024","2024",12451,3168.67
,"Delaware County, OH","39041","2016","2016",2079,3364.47
,"Delaware County, OH","39041","2017","2017",2074,3328.05
,"Delaware County, OH","39041","2018","2018",2106,3343.93
,"Delaware County, OH","39041","2019","2019",2120,3310.64
,"Delaware County, OH","39041","2020","2020",1975,3337.91
,"Delaware County, OH","39041","2021","2021",2155,3319.74
,"Delaware County, OH","39041","2022","2022",2147,3328.59
,"Delaware County, OH","39041","2023","2023",2120,3290.95
,"Delaware County, OH","39041","2024","2024",2268,3294.80
,"Fairfield County, OH","39045","2016","2016",1629,3288.56
,"Fairfield County, OH","39045","2017","2017",1755,3302.99
,"Fairfield County, OH","39045","2018","2018",1669,3282.31
,"Fairfield County, OH","39045","2019","2019",1733,3289.18
,"Fairfield County, OH","39045","2020","2020",1627,3287.55
,"Fairfield County, OH","39045","2021","2021",1706,3285.83
,"Fairfield County, OH","39045","2022","2022",1695,3269.73
,"Fairfield County, OH","39045","2023","2023",1665,3283.93
,"Fairfield County, OH","39045","2024","2024",1663,3240.01
,"Franklin County, OH","39049","2016","2016",19045,3234.41
,"Franklin County, OH","39049","2017","2017",18886,3235.02
,"Franklin County, OH","39049","2018","2018",18338,3235.98
,"Franklin County, OH","39049","2019","2019",18400,3221.39
,"Franklin County, OH","39049","2020","2020",17557,3234.43
,"Franklin County, OH","39049","2021","2021",17441,3218.41
,"Franklin County, OH","39049","2022","2022",17528,3209.17
,"Franklin County, OH","39049","2023","2023",17143,3209.94
,"Franklin County, OH","39049","2024","2024",17393,3208.53
,"Greene County, OH","39057","2016","2016",1808,3310.43
,"Greene County, OH","39057","2017","2017",1744,3365.50
,"Greene County, OH","39057","2018","2018",1720,3325.44
,"Greene County, OH","39057","2019","2019",1739,3326.79
,"Greene County, OH","39057","2020","2020",1712,3345.01
,"Greene County, OH","39057","2021","2021",1653,3308.27
,"Greene County, OH","39057","2022","2022",1692,3300.77
,"Greene County, OH","39057","2023","2023",1721,3309.07
,"Greene County, OH","39057","2024","2024",1651,3316.22
,"Hamilton County, OH","39061","2016","2016",10820,3229.49
,"Hamilton County, OH","39061","2017","2017",10833,3222.59
,"Hamilton County, OH","39061","2018","2018",10835,3229.20
,"Hamilton County, OH","39061","2019","2019",10676,3209.59
,"Hamilton County, OH","39061","2020","2020",10383,3209.01
,"Hamilton County, OH","39061","2021","2021",10330,3206.43
,"Hamilton County, OH","39061","2022","2022",10264,3205.27
,"Hamilton County, OH","39061","2023","2023",10099,3199.41
,"Hamilton County, OH","39061","2024","2024",10057,3202.87
,"Lake County, OH","39085","2016","2016",2163,3289.19
,"Lake County, OH","39085","2017","2017",2198,3301.76
,"Lake County, OH","39085","2018","2018",2212,3289.25
,"Lake County, OH","39085","2019","2019",2181,3271.26
,"Lake County, OH","39085","2020","2020",2021,3291.01
,"Lake County, OH","39085","2021","2021",2092,3278.14
,"Lake County, OH","39085","2022","2022",2051,3263.11
,"Lake County, OH","39085","2023","2023",2082,3250.06
,"Lake County, OH","39085","2024","2024",2090,3253.00
,"Licking County, OH","39089","2016","2016",2075,3321.98
,"Licking County, OH","39089","2017","2017",1866,3307.93
,"Licking County, OH","39089","2018","2018",1991,3274.49
,"Licking County, OH","39089","2019","2019",1989,3287.75
,"Licking County, OH","39089","2020","2020",1822,3314.26
,"Licking County, OH","39089","2021","2021",1928,3294.64
,"Licking County, OH","39089","2022","2022",1866,3315.74
,"Licking County, OH","39089","2023","2023",1827,3286.86
,"Licking County, OH","39089","2024","2024",1860,3287.81
,"Lorain County, OH","39093","2016","2016",3295,3262.57
,"Lorain County, OH","39093","2017","2017",3183,3254.96
,"Lorain County, OH","39093","2018","2018",3199,3261.47
,"Lorain County, OH","39093","2019","2019",3256,3250.39
,"Lorain County, OH","39093","2020","2020",3185,3241.20
,"Lorain County, OH","39093","2021","2021",3211,3246.11
,"Lorain County, OH","39093","2022","2022",3152,3226.27
,"Lorain County, OH","39093","2023","2023",3071,3227.16
,"Lorain County, OH","39093","2024","2024",3080,3225.95
,"Lucas County, OH","39095","2016","2016",5627,3220.04
,"Lucas County, OH","39095","2017","2017",5445,3212.95
,"Lucas County, OH","39095","2018","2018",5418,3209.38
,"Lucas County, OH","39095","2019","2019",5229,3207.03
,"Lucas County, OH","39095","2020","2020",5171,3212.42
,"Lucas County, OH","39095","2021","2021",4956,3187.89
,"Lucas County, OH","39095","2022","2022",4910,3207.79
,"Lucas County, OH","39095","2023","2023",4540,3204.92
,"Lucas County, OH","39095","2024","2024",4489,3220.60
,"Mahoning County, OH","39099","2016","2016",2506,3182.40
,"Mahoning County, OH","39099","2017","2017",2458,3184.01
,"Mahoning County, OH","39099","2018","2018",2344,3158.59
,"Mahoning County, OH","39099","2019","2019",2434,3156.24
,"Mahoning County, OH","39099","2020","2020",2326,3198.42
,"Mahoning County, OH","39099","2021","2021",2349,3182.85
,"Mahoning County, OH","39099","2022","2022",2407,3163.77
,"Mahoning County, OH","39099","2023","2023",2272,3162.54
,"Mahoning County, OH","39099","2024","2024",2145,3171.41
,"Medina County, OH","39103","2016","2016",1816,3345.96
,"Medina County, OH","39103","2017","2017",1720,3362.67
,"Medina County, OH","39103","2018","2018",1675,3382.42
,"Medina County, OH","39103","2019","2019",1688,3321.52
,"Medina County, OH","39103","2020","2020",1583,3339.07
,"Medina County, OH","39103","2021","2021",1746,3338.61
,"Medina County, OH","39103","2022","2022",1593,3308.42
,"Medina County, OH","39103","2023","2023",1637,3315.76
,"Medina County, OH","39103","2024","2024",1632,3282.24
,"Miami County, OH","39109","2016","2016",1227,3347.35
,"Miami County, OH","39109","2017","2017",1154,3331.08
,"Miami County, OH","39109","2018","2018",1180,3365.25
,"Miami County, OH","39109","2019","2019",1238,3340.03
,"Miami County, OH","39109","2020","2020",1144,3352.16
,"Miami County, OH","39109","2021","2021",1160,3332.64
,"Miami County, OH","39109","2022","2022",1115,3323.92
,"Miami County, OH","39109","2023","2023",1109,3345.13
,"Miami County, OH","39109","2024","2024",1152,3354.39
,"Montgomery County, OH","39113","2016","2016",6631,3234.98
,"Montgomery County, OH","39113","2017","2017",6730,3233.57
,"Montgomery County, OH","39113","2018","2018",6480,3260.13
,"Montgomery County, OH","39113","2019","2019",6395,3237.19
,"Montgomery County, OH","39113","2020","2020",6170,3242.57
,"Montgomery County, OH","39113","2021","2021",6117,3235.15
,"Montgomery County, OH","39113","2022","2022",6007,3259.20
,"Montgomery County, OH","39113","2023","2023",6094,3227.05
,"Montgomery County, OH","39113","2024","2024",5943,3243.98
,"Portage County, OH","39133","2016","2016",1441,3289.68
,"Portage County, OH","39133","2017","2017",1351,3315.36
,"Portage County, OH","39133","2018","2018",1392,3314.97
,"Portage County, OH","39133","2019","2019",1355,3293.93
,"Portage County, OH","39133","2020","2020",1306,3290.49
,"Portage County, OH","39133","2021","2021",1378,3274.66
,"Portage County, OH","39133","2022","2022",1383,3239.81
,"Portage County, OH","39133","2023","2023",1323,3259.31
,"Portage County, OH","39133","2024","2024",1365,3263.67
,"Richland County, OH","39139","2016","2016",1328,3253.41
,"Richland County, OH","39139","2017","2017",1317,3249.85
,"Richland County, OH","39139","2018","2018",1353,3276.86
,"Richland County, OH","39139","2019","2019",1423,3314.06
,"Richland County, OH","39139","2020","2020",1321,3289.75
,"Richland County, OH","39139","2021","2021",1407,3283.59
,"Richland County, OH","39139","2022","2022",1310,3257.65
,"Richland County, OH","39139","2023","2023",1312,3262.48
,"Richland County, OH","39139","2024","2024",1377,3255.16
,"Stark County, OH","39151","2016","2016",4236,3281.94
,"Stark County, OH","39151","2017","2017",4025,3274.63
,"Stark County, OH","39151","2018","2018",4075,3269.12
,"Stark County, OH","39151","2019","2019",4108,3271.83
,"Stark County, OH","39151","2020","2020",3934,3259.13
,"Stark County, OH","39151","2021","2021",3962,3262.62
,"Stark County, OH","39151","2022","2022",3882,3252.85
,"Stark County, OH","39151","2023","2023",3968,3247.35
,"Stark County, OH","39151","2024","2024",3766,3240.90
,"Summit County, OH","39153","2016","2016",5996,3246.60
,"Summit County, OH","39153","2017","2017",5904,3267.47
,"Summit County, OH","39153","2018","2018",5934,3256.73
,"Summit County, OH","39153","2019","2019",5838,3243.83
,"Summit County, OH","39153","2020","2020",5481,3229.23
,"Summit County, OH","39153","2021","2021",5473,3232.77
,"Summit County, OH","39153","2022","2022",5390,3224.89
,"Summit County, OH","39153","2023","2023",5293,3201.59
,"Summit County, OH","39153","2024","2024",5333,3213.92
,"Trumbull County, OH","39155","2016","2016",2101,3235.54
,"Trumbull County, OH","39155","2017","2017",2107,3241.18
,"Trumbull County, OH","39155","2018","2018",2069,3265.53
,"Trumbull County, OH","39155","2019","2019",2150,3227.20
,"Trumbull County, OH","39155","2020","2020",1983,3254.86
,"Trumbull County, OH","39155","2021","2021",1958,3228.21
,"Trumbull County, OH","39155","2022","2022",2018,3220.79
,"Trumbull County, OH","39155","2023","2023",1907,3237.98
,"Trumbull County, OH","39155","2024","2024",1908,3246.44
,"Warren County, OH","39165","2016","2016",2400,3328.16
,"Warren County, OH","39165","2017","2017",2262,3347.00
,"Warren County, OH","39165","2018","2018",2306,3328.96
,"Warren County, OH","39165","2019","2019",2401,3305.86
,"Warren County, OH","39165","2020","2020",2347,3351.79
,"Warren County, OH","39165","2021","2021",2418,3316.71
,"Warren County, OH","39165","2022","2022",2428,3335.19
,"Warren County, OH","39165","2023","2023",2416,3338.69
,"Warren County, OH","39165","2024","2024",2457,3318.48
,"Wayne County, OH","39169","2016","2016",1487,3387.66
,"Wayne County, OH","39169","2017","2017",1502,3375.79
,"Wayne County, OH","39169","2018","2018",1447,3366.91
,"Wayne County, OH","39169","2019","2019",1442,3375.37
,"Wayne County, OH","39169","2020","2020",1398,3363.66
,"Wayne County, OH","39169","2021","2021",1401,3366.90
,"Wayne County, OH","39169","2022","2022",1405,3349.40
,"Wayne County, OH","39169","2023","2023",1380,3369.46
,"Wayne County, OH","39169","2024","2024",1382,3356.97
,"Wood County, OH","39173","2016","2016",1365,3306.75
,"Wood County, OH","39173","2017","2017",1401,3311.58
,"Wood County, OH","39173","2018","2018",1267,3316.79
,"Wood County, OH","39173","2019","2019",1281,3304.17
,"Wood County, OH","39173","2020","2020",1180,3322.29
,"Wood County, OH","39173","2021","2021",1301,3336.68
,"Wood County, OH","39173","2022","2022",1199,3332.69
,"Wood County, OH","39173","2023","2023",1268,3289.66
,"Wood County, OH","39173","2024","2024",1204,3323.18
,"Unidentified Counties, OH","39999","2016","2016",30573,3303.38
,"Unidentified Counties, OH","39999","2017","2017",30558,3298.84
,"Unidentified Counties, OH","39999","2018","2018",30582,3303.36
,"Unidentified Counties, OH","39999","2019","2019",29825,3298.79
,"Unidentified Counties, OH","39999","2020","2020",29151,3301.25
,"Unidentified Counties, OH","39999","2021","2021",29298,3305.11
,"Unidentified Counties, OH","39999","2022","2022",28701,3293.34
,"Unidentified Counties, OH","39999","2023","2023",28801,3300.02
,"Unidentified Counties, OH","39999","2024","2024",28731,3294.18
,"Arlington County, VA","51013","2016","2016",3225,3306.83
,"Arlington County, VA","51013","2017","2017",2990,3296.85
,"Arlington County, VA","51013","2018","2018",2937,3334.08
,"Arlington County, VA","51013","2019","2019",2650,3315.29
,"Arlington County, VA","51013","2020","2020",2645,3313.19
,"Arlington County, VA","51013","2021","2021",2454,3312.23
,"Arlington County, VA","51013","2022","2022",2418,3294.35
,"Arlington County, VA","51013","2023","2023",2302,3281.64
,"Arlington County, VA","51013","2024","2024",2382,3334.19
,"Chesterfield County, VA","51041","2016","2016",3885,3290.53
,"Chesterfield County, VA","51041","2017","2017",3845,3283.48
,"Chesterfield County, VA","51041","2018","2018",3841,3289.78
,"Chesterfield County, VA","51041","2019","2019",3904,3298.57
,"Chesterfield County, VA","51041","2020","2020",3855,3261.76
,"Chesterfield County, VA","51041","2021","2021",4137,3292.16
,"Chesterfield County, VA","51041","2022","2022",4258,3255.01
,"Chesterfield County, VA","51041","2023","2023",4051,3263.58
,"Chesterfield County, VA","51041","2024","2024",4109,3248.27
,"Fairfax County, VA","51059","2016","2016",14525,3285.91
,"Fairfax County, VA","51059","2017","2017",14220,3274.00
,"Fairfax County, VA","51059","2018","2018",13841,3296.82
,"Fairfax County, VA","51059","2019","2019",13376,3270.93
,"Fairfax County, VA","51059","2020","2020",12490,3283.51
,"Fairfax County, VA","51059","2021","2021",12475,3276.02
,"Fairfax County, VA","51059","2022","2022",12405,3284.80
,"Fairfax County, VA","51059","2023","2023",12063,3273.90
,"Fairfax County, VA","51059","2024","2024",12435,3272.54
,"Henrico County, VA","51087","2016","2016",3903,3259.99
,"Henrico County, VA","51087","2017","2017",3895,3244.70
,"Henrico County, VA","51087","2018","2018",3911,3268.36
,"Henrico County, VA","51087","2019","2019",3695,3259.69
,"Henrico County, VA","51087","2020","2020",3663,3258.63
,"Henrico County, VA","51087","2021","2021",3691,3245.58
,"Henrico County, VA","51087","2022","2022",3703,3250.30
,"Henrico County, VA","51087","2023","2023",3578,3253.76
,"Henrico County, VA","51087","2024","2024",3749,3257.42
,"Loudoun County, VA","51107","2016","2016",5335,3311.53
,"Loudoun County, VA","51107","2017","2017",5067,3293.22
,"Loudoun County, VA","51107","2018","2018",5224,3295.43
,"Loudoun County, VA","51107","2019","2019",4909,3295.94
,"Loudoun County, VA","51107","2020","2020",4698,3292.43
,"Loudoun County, VA","51107","2021","2021",4972,3285.79
,"Loudoun County, VA","51107","2022","2022",4821,3272.11
,"Loudoun County, VA","51107","2023","2023",4585,3270.41
,"Loudoun County, VA","51107","2024","2024",4548,3280.78
,"Prince William County, VA","51153","2016","2016",6845,3292.79
,"Prince William County, VA","51153","2017","2017",6675,3282.03
,"Prince William County, VA","51153","2018","2018",6484,3291.91
,"Prince William County, VA","51153","2019","2019",6386,3284.70
,"Prince William County, VA","51153","2020","2020",6183,3281.60
,"Prince William County, VA","51153","2021","2021",6247,3266.32
,"Prince William County, VA","51153","2022","2022",6427,3263.86
,"Prince William County, VA","51153","2023","2023",6111,3262.13
,"Prince William County, VA","51153","2024","2024",6158,3262.47
,"Spotsylvania County, VA","51177","2016","2016",1542,3317.47
,"Spotsylvania County, VA","51177","2017","2017",1505,3317.05
,"Spotsylvania County, VA","51177","2018","2018",1503,3299.24
,"Spotsylvania County, VA","51177","2019","2019",1568,3319.78
,"Spotsylvania County, VA","51177","2020","2020",1539,3335.41
,"Spotsylvania County, VA","51177","2021","2021",1593,3302.49
,"Spotsylvania County, VA","51177","2022","2022",1616,3291.15
,"Spotsylvania County, VA","51177","2023","2023",1649,3292.60
,"Spotsylvania County, VA","51177","2024","2024",1648,3305.48
,"Stafford County, VA","51179","2016","2016",1711,3326.35
,"Stafford County, VA","51179","2017","2017",1746,3334.69
,"Stafford County, VA","51179","2018","2018",1745,3330.93
,"Stafford County, VA","51179","2019","2019",1763,3295.59
,"Stafford County, VA","51179","2020","2020",1783,3292.32
,"Stafford County, VA","51179","2021","2021",1791,3299.66
,"Stafford County, VA","51179","2022","2022",1863,3292.01
,"Stafford County, VA","51179","2023","2023",1820,3269.80
,"Stafford County, VA","51179","2024","2024",1865,3299.81
,"Alexandria city, VA","51510","2016","2016",2823,3312.94
,"Alexandria city, VA","51510","2017","2017",2647,3302.56
,"Alexandria city, VA","51510","2018","2018",2590,3306.87
,"Alexandria city, VA","51510","2019","2019",2486,3302.46
,"Alexandria city, VA","51510","2020","2020",2363,3296.85
,"Alexandria city, VA","51510","2021","2021",2187,3282.46
,"Alexandria city, VA","51510","2022","2022",2281,3273.56
,"Alexandria city, VA","51510","2023","2023",2192,3292.76
,"Alexandria city, VA","51510","2024","2024",2310,3281.34
,"Chesapeake city, VA","51550","2016","2016",2877,3282.87
,"Chesapeake city, VA","51550","2017","2017",2902,3255.96
,"Chesapeake city, VA","51550","2018","2018",2928,3274.07
,"Chesapeake city, VA","51550","2019","2019",2945,3253.74
,"Chesapeake city, VA","51550","2020","2020",2814,3251.07
,"Chesapeake city, VA","51550","2021","2021",2986,3275.90
,"Chesapeake city, VA","51550","2022","2022",2866,3240.29
,"Chesapeake city, VA","51550","2023","2023",2734,3251.09
,"Chesapeake city, VA","51550","2024","2024",2520,3277.79
,"Hampton city, VA","51650","2016","2016",1727,3235.61
,"Hampton city, VA","51650","2017","2017",1736,3216.89
,"Hampton city, VA","51650","2018","2018",1645,3204.05
,"Hampton city, VA","51650","2019","2019",1606,3206.27
,"Hampton city, VA","51650","2020","2020",1584,3218.87
,"Hampton city, VA","51650","2021","2021",1655,3208.92
,"Hampton city, VA","51650","2022","2022",1617,3188.47
,"Hampton city, VA","51650","2023","2023",1445,3195.41
,"Hampton city, VA","51650","2024","2024",1506,3166.83
,"Newport News city, VA","51700","2016","2016",2814,3211.30
,"Newport News city, VA","51700","2017","2017",2717,3198.80
,"Newport News city, VA","51700","2018","2018",2677,3210.86
,"Newport News city, VA","51700","2019","2019",2752,3203.54
,"Newport News city, VA","51700","2020","2020",2671,3202.16
,"Newport News city, VA","51700","2021","2021",2520,3196.36
,"Newport News city, VA","51700","2022","2022",2487,3209.03
,"Newport News city, VA","51700","2023","2023",2377,3222.01
,"Newport News city, VA","51700","2024","2024",2377,3211.57
,"Norfolk city, VA","51710","2016","2016",3547,3194.21
,"Norfolk city, VA","51710","2017","2017",3410,3204.40
,"Norfolk city, VA","51710","2018","2018",3452,3190.78
,"Norfolk city, VA","51710","2019","2019",3338,3186.85
,"Norfolk city, VA","51710","2020","2020",3134,3189.03
,"Norfolk city, VA","51710","2021","2021",3114,3205.17
,"Norfolk city, VA","51710","2022","2022",3065,3195.46
,"Norfolk city, VA","51710","2023","2023",2948,3179.77
,"Norfolk city, VA","51710","2024","2024",2996,3182.75
,"Richmond city, VA","51760","2016","2016",3028,3165.46
,"Richmond city, VA","51760","2017","2017",3031,3156.56
,"Richmond city, VA","51760","2018","2018",3139,3180.66
,"Richmond city, VA","51760","2019","2019",3092,3168.45
,"Richmond city, VA","51760","2020","2020",2999,3162.67
,"Richmond city, VA","51760","2021","2021",2979,3152.49
,"Richmond city, VA","51760","2022","2022",2913,3158.95
,"Richmond city, VA","51760","2023","2023",2873,3174.92
,"Richmond city, VA","51760","2024","2024",2925,3142.30
,"Virginia Beach city, VA","51810","2016","2016",5925,3291.02
,"Virginia Beach city, VA","51810","2017","2017",5710,3282.04
,"Virginia Beach city, VA","51810","2018","2018",5618,3264.02
,"Virginia Beach city, VA","51810","2019","2019",5458,3263.11
,"Virginia Beach city, VA","51810","2020","2020",5328,3282.40
,"Virginia Beach city, VA","51810","2021","2021",5384,3281.39
,"Virginia Beach city, VA","51810","2022","2022",5091,3270.49
,"Virginia Beach city, VA","51810","2023","2023",4837,3282.20
,"Virginia Beach city, VA","51810","2024","2024",4769,3262.13
,"Unidentified Counties, VA","51999","2016","2016",38748,3282.03
,"Unidentified Counties, VA","51999","2017","2017",38295,3280.12
,"Unidentified Counties, VA","51999","2018","2018",38308,3276.37
,"Unidentified Counties, VA","51999","2019","2019",37501,3265.45
,"Unidentified Counties, VA","51999","2020","2020",37000,3271.36
,"Unidentified Counties, VA","51999","2021","2021",37640,3274.57
,"Unidentified Counties, VA","51999","2022","2022",37799,3263.74
,"Unidentified Counties, VA","51999","2023","2023",37084,3263.86
,"Unidentified Counties, VA","51999","2024","2024",37757,3269.45
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Alabama (01); Arkansas (05); Missouri (29); New Jersey (34); Ohio (39); Virginia (51)"
"Group By: County of Residence; Year"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Apr 12, 2026 1:06:30 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Apr 12, 2026 1:06:30 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. Records where the ""Birth Weight"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Birth"
"Weight"" measure."
"4. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
