"Notes","County of Residence","County of Residence Code","Year","Year Code",Births,Average Birth Weight (grams)
,"Shelby County, AL","01117","2024","2024",2323,3259.04
,"Tuscaloosa County, AL","01125","2016","2016",2591,3158.02
,"Tuscaloosa County, AL","01125","2017","2017",2538,3181.21
,"Tuscaloosa County, AL","01125","2018","2018",2406,3193.12
,"Tuscaloosa County, AL","01125","2019","2019",2630,3163.25
,"Tuscaloosa County, AL","01125","2020","2020",2570,3154.30
,"Tuscaloosa County, AL","01125","2021","2021",2445,3140.61
,"Tuscaloosa County, AL","01125","2022","2022",2539,3144.86
,"Tuscaloosa County, AL","01125","2023","2023",2505,3134.19
,"Tuscaloosa County, AL","01125","2024","2024",2549,3168.07
,"Unidentified Counties, AL","01999","2016","2016",23128,3199.02
,"Unidentified Counties, AL","01999","2017","2017",22881,3192.85
,"Unidentified Counties, AL","01999","2018","2018",22362,3198.29
,"Unidentified Counties, AL","01999","2019","2019",22901,3192.59
,"Unidentified Counties, AL","01999","2020","2020",22773,3189.64
,"Unidentified Counties, AL","01999","2021","2021",23183,3198.70
,"Unidentified Counties, AL","01999","2022","2022",23193,3200.40
,"Unidentified Counties, AL","01999","2023","2023",23046,3201.04
,"Unidentified Counties, AL","01999","2024","2024",23079,3203.70
,"Benton County, AR","05007","2016","2016",3622,3315.55
,"Benton County, AR","05007","2017","2017",3713,3296.20
,"Benton County, AR","05007","2018","2018",3778,3291.23
,"Benton County, AR","05007","2019","2019",3519,3290.77
,"Benton County, AR","05007","2020","2020",3661,3277.21
,"Benton County, AR","05007","2021","2021",3771,3285.94
,"Benton County, AR","05007","2022","2022",3932,3267.94
,"Benton County, AR","05007","2023","2023",3830,3290.67
,"Benton County, AR","05007","2024","2024",4012,3286.04
,"Faulkner County, AR","05045","2016","2016",1534,3336.01
,"Faulkner County, AR","05045","2017","2017",1545,3284.37
,"Faulkner County, AR","05045","2018","2018",1467,3297.10
,"Faulkner County, AR","05045","2019","2019",1513,3273.14
,"Faulkner County, AR","05045","2020","2020",1494,3248.79
,"Faulkner County, AR","05045","2021","2021",1470,3252.67
,"Faulkner County, AR","05045","2022","2022",1460,3258.79
,"Faulkner County, AR","05045","2023","2023",1489,3221.25
,"Faulkner County, AR","05045","2024","2024",1501,3258.92
,"Pulaski County, AR","05119","2016","2016",5348,3186.16
,"Pulaski County, AR","05119","2017","2017",5259,3184.81
,"Pulaski County, AR","05119","2018","2018",5123,3172.79
,"Pulaski County, AR","05119","2019","2019",5183,3158.19
,"Pulaski County, AR","05119","2020","2020",5041,3138.66
,"Pulaski County, AR","05119","2021","2021",5012,3133.33
,"Pulaski County, AR","05119","2022","2022",4895,3138.47
,"Pulaski County, AR","05119","2023","2023",4801,3119.73
,"Pulaski County, AR","05119","2024","2024",4725,3127.81
,"Saline County, AR","05125","2016","2016",1326,3286.18
,"Saline County, AR","05125","2017","2017",1275,3276.52
,"Saline County, AR","05125","2018","2018",1339,3288.69
,"Saline County, AR","05125","2019","2019",1372,3272.10
,"Saline County, AR","05125","2020","2020",1285,3246.29
,"Saline County, AR","05125","2021","2021",1420,3207.36
,"Saline County, AR","05125","2022","2022",1380,3205.63
,"Saline County, AR","05125","2023","2023",1389,3233.25
,"Saline County, AR","05125","2024","2024",1430,3194.94
,"Sebastian County, AR","05131","2016","2016",1721,3286.63
,"Sebastian County, AR","05131","2017","2017",1828,3237.79
,"Sebastian County, AR","05131","2018","2018",1662,3268.50
,"Sebastian County, AR","05131","2019","2019",1670,3223.10
,"Sebastian County, AR","05131","2020","2020",1550,3239.45
,"Sebastian County, AR","05131","2021","2021",1620,3272.00
,"Sebastian County, AR","05131","2022","2022",1561,3276.87
,"Sebastian County, AR","05131","2023","2023",1546,3254.70
,"Sebastian County, AR","05131","2024","2024",1601,3255.67
,"Washington County, AR","05143","2016","2016",3280,3262.88
,"Washington County, AR","05143","2017","2017",3199,3285.39
,"Washington County, AR","05143","2018","2018",3227,3249.12
,"Washington County, AR","05143","2019","2019",3174,3260.82
,"Washington County, AR","05143","2020","2020",3086,3290.13
,"Washington County, AR","05143","2021","2021",3178,3275.47
,"Washington County, AR","05143","2022","2022",3345,3269.32
,"Washington County, AR","05143","2023","2023",3265,3258.95
,"Washington County, AR","05143","2024","2024",3397,3265.49
,"Unidentified Counties, AR","05999","2016","2016",21443,3234.79
,"Unidentified Counties, AR","05999","2017","2017",20701,3210.47
,"Unidentified Counties, AR","05999","2018","2018",20422,3215.35
,"Unidentified Counties, AR","05999","2019","2019",20133,3212.77
,"Unidentified Counties, AR","05999","2020","2020",19134,3211.82
,"Unidentified Counties, AR","05999","2021","2021",19494,3208.36
,"Unidentified Counties, AR","05999","2022","2022",18898,3198.08
,"Unidentified Counties, AR","05999","2023","2023",18944,3196.82
,"Unidentified Counties, AR","05999","2024","2024",18729,3192.25
,"Boone County, MO","29019","2016","2016",2093,3313.24
,"Boone County, MO","29019","2017","2017",2072,3266.63
,"Boone County, MO","29019","2018","2018",2050,3251.52
,"Boone County, MO","29019","2019","2019",2075,3256.17
,"Boone County, MO","29019","2020","2020",1980,3286.32
,"Boone County, MO","29019","2021","2021",1924,3282.00
,"Boone County, MO","29019","2022","2022",2008,3254.88
,"Boone County, MO","29019","2023","2023",1824,3244.41
,"Boone County, MO","29019","2024","2024",1897,3261.89
,"Clay County, MO","29047","2016","2016",2962,3323.75
,"Clay County, MO","29047","2017","2017",3040,3314.26
,"Clay County, MO","29047","2018","2018",3105,3311.04
,"Clay County, MO","29047","2019","2019",3087,3307.71
,"Clay County, MO","29047","2020","2020",2990,3256.88
,"Clay County, MO","29047","2021","2021",2960,3282.03
,"Clay County, MO","29047","2022","2022",2986,3252.75
,"Clay County, MO","29047","2023","2023",2823,3281.39
,"Clay County, MO","29047","2024","2024",2939,3288.15
,"Franklin County, MO","29071","2016","2016",1248,3304.00
,"Franklin County, MO","29071","2017","2017",1256,3327.50
,"Franklin County, MO","29071","2018","2018",1174,3322.01
,"Franklin County, MO","29071","2019","2019",1222,3302.99
,"Franklin County, MO","29071","2020","2020",1101,3291.08
,"Franklin County, MO","29071","2021","2021",1117,3337.64
,"Franklin County, MO","29071","2022","2022",1119,3326.27
,"Franklin County, MO","29071","2023","2023",1125,3300.58
,"Franklin County, MO","29071","2024","2024",1172,3283.76
,"Greene County, MO","29077","2016","2016",3579,3321.33
,"Greene County, MO","29077","2017","2017",3339,3317.55
,"Greene County, MO","29077","2018","2018",3309,3329.12
,"Greene County, MO","29077","2019","2019",3421,3295.16
,"Greene County, MO","29077","2020","2020",3242,3298.08
,"Greene County, MO","29077","2021","2021",3268,3302.59
,"Greene County, MO","29077","2022","2022",3276,3276.90
,"Greene County, MO","29077","2023","2023",3155,3283.15
,"Greene County, MO","29077","2024","2024",3387,3276.02
,"Jackson County, MO","29095","2016","2016",9408,3247.12
,"Jackson County, MO","29095","2017","2017",9291,3244.54
,"Jackson County, MO","29095","2018","2018",9065,3231.80
,"Jackson County, MO","29095","2019","2019",8838,3223.02
,"Jackson County, MO","29095","2020","2020",8776,3219.37
,"Jackson County, MO","29095","2021","2021",8415,3207.09
,"Jackson County, MO","29095","2022","2022",8566,3193.53
,"Jackson County, MO","29095","2023","2023",8593,3216.21
,"Jackson County, MO","29095","2024","2024",8574,3211.55
,"Jasper County, MO","29097","2016","2016",1669,3329.79
,"Jasper County, MO","29097","2017","2017",1596,3316.88
,"Jasper County, MO","29097","2018","2018",1570,3270.21
,"Jasper County, MO","29097","2019","2019",1542,3293.30
,"Jasper County, MO","29097","2020","2020",1519,3290.16
,"Jasper County, MO","29097","2021","2021",1567,3231.71
,"Jasper County, MO","29097","2022","2022",1609,3253.20
,"Jasper County, MO","29097","2023","2023",1573,3243.22
,"Jasper County, MO","29097","2024","2024",1557,3241.53
,"Jefferson County, MO","29099","2016","2016",2633,3331.46
,"Jefferson County, MO","29099","2017","2017",2516,3313.49
,"Jefferson County, MO","29099","2018","2018",2545,3296.25
,"Jefferson County, MO","29099","2019","2019",2506,3268.33
,"Jefferson County, MO","29099","2020","2020",2385,3272.00
,"Jefferson County, MO","29099","2021","2021",2414,3280.69
,"Jefferson County, MO","29099","2022","2022",2327,3291.72
,"Jefferson County, MO","29099","2023","2023",2368,3276.15
,"Jefferson County, MO","29099","2024","2024",2387,3253.24
,"St. Charles County, MO","29183","2016","2016",4487,3334.37
,"St. Charles County, MO","29183","2017","2017",4459,3323.62
,"St. Charles County, MO","29183","2018","2018",4306,3327.59
,"St. Charles County, MO","29183","2019","2019",4305,3300.12
,"St. Charles County, MO","29183","2020","2020",4073,3298.82
,"St. Charles County, MO","29183","2021","2021",4221,3320.18
,"St. Charles County, MO","29183","2022","2022",4251,3293.32
,"St. Charles County, MO","29183","2023","2023",3969,3301.82
,"St. Charles County, MO","29183","2024","2024",4107,3285.60
,"St. Louis County, MO","29189","2016","2016",11692,3244.18
,"St. Louis County, MO","29189","2017","2017",11374,3226.98
,"St. Louis County, MO","29189","2018","2018",11368,3217.56
,"St. Louis County, MO","29189","2019","2019",11392,3206.11
,"St. Louis County, MO","29189","2020","2020",10584,3203.55
,"St. Louis County, MO","29189","2021","2021",10498,3201.97
,"St. Louis County, MO","29189","2022","2022",10480,3192.37
,"St. Louis County, MO","29189","2023","2023",9700,3195.68
,"St. Louis County, MO","29189","2024","2024",9937,3198.92
,"St. Louis city, MO","29510","2016","2016",4317,3120.25
,"St. Louis city, MO","29510","2017","2017",4138,3127.37
,"St. Louis city, MO","29510","2018","2018",4127,3124.88
,"St. Louis city, MO","29510","2019","2019",3951,3131.67
,"St. Louis city, MO","29510","2020","2020",3791,3115.27
,"St. Louis city, MO","29510","2021","2021",3716,3112.53
,"St. Louis city, MO","29510","2022","2022",3342,3119.53
,"St. Louis city, MO","29510","2023","2023",3242,3115.80
,"St. Louis city, MO","29510","2024","2024",3142,3129.42
,"Unidentified Counties, MO","29999","2016","2016",30617,3292.23
,"Unidentified Counties, MO","29999","2017","2017",29953,3287.22
,"Unidentified Counties, MO","29999","2018","2018",30650,3289.12
,"Unidentified Counties, MO","29999","2019","2019",29788,3284.54
,"Unidentified Counties, MO","29999","2020","2020",28844,3281.66
,"Unidentified Counties, MO","29999","2021","2021",29353,3283.33
,"Unidentified Counties, MO","29999","2022","2022",29021,3270.53
,"Unidentified Counties, MO","29999","2023","2023",28751,3276.62
,"Unidentified Counties, MO","29999","2024","2024",28899,3271.25
,"Atlantic County, NJ","34001","2016","2016",2836,3270.34
,"Atlantic County, NJ","34001","2017","2017",2804,3262.73
,"Atlantic County, NJ","34001","2018","2018",2797,3268.27
,"Atlantic County, NJ","34001","2019","2019",2839,3280.01
,"Atlantic County, NJ","34001","2020","2020",2823,3277.88
,"Atlantic County, NJ","34001","2021","2021",2742,3271.87
,"Atlantic County, NJ","34001","2022","2022",2698,3230.08
